[1161.824]  Client 0001: [ENQ]   
[1161.832]  Server 0001: [ACK]   
[1161.839]  Client 0059: [STX]1H|\^&|||Sofia^20001515|||||||P|2.1.2|20260902211102[CR][ETX]90[CR][LF]   
[1161.843]  Server 0001: [ACK]   
[1161.852]  Client 0035: [STX]2P|1||||||||||||||||||||||||[CR][ETX]DF[CR][LF]   
[1161.856]  Server 0001: [ACK]   
[1161.863]  Client 0051: [STX]3O|1||157228^20280616|Legion||||||1234|||||P[CR][ETX]AF[CR][LF]   
[1161.866]  Server 0001: [ACK]   
[1161.871]  Client 0027: [STX]4C|1||Walk Away Mode[CR][ETX]12[CR][LF]   
[1161.874]  Server 0001: [ACK]   
[1161.879]  Client 0054: [STX]5R|1|^^^Legion|positive|||||R||||20260310113226[CR][ETX]92[CR][LF]   
[1161.882]  Server 0001: [ACK]   
[1161.899]  Client 0055: [STX]6R|2|^^^Legion_VAL|61.29|||||R||||20260310113226[CR][ETX]63[CR][LF]   
[1161.903]  Server 0001: [ACK]   
[1161.907]  Client 0013: [STX]7L|1|N[CR][ETX]0A[CR][LF]   
[1161.910]  Server 0001: [ACK]   
[1161.925]  Client 0001: [EOT]   
[1161.929]  Server 0001: [ACK]   
